7585
7.87287
7464

0	197
1	64
2	48
3	42
4	38
5	29
6	32
7	49
8	29
9	32
10	37
11	36
12	81
13	24
14	31
15	32
16	29
17	36
18	35
19	23
20	76
21	26
22	25
23	23
24	24
25	28
26	31
27	29
28	15
29	24
30	31
31	42
32	28
33	21
34	19
35	22
36	47
37	18
38	26
39	27
40	37
41	13
42	20
43	37
44	20
45	33
46	22
47	22
48	22
49	20
50	18
51	23
52	26
53	26
54	20
55	31
56	25
57	20
58	24
59	24
60	31
61	27
62	42
63	44
64	25
65	27
66	17
67	29
68	17
69	63
70	33
71	23
72	25
73	27
74	20
75	34
76	16
77	21
78	23
79	32
80	19
81	73
82	16
83	24
84	17
85	20
86	33
87	37
88	28
89	14
90	16
91	29
92	17
93	28
94	29
95	42
96	19
97	21
98	17
99	23
100	25
101	31
102	20
103	28
104	26
105	43
106	22
107	36
108	22
109	39
110	32
111	26
112	21
113	25
114	25
115	26
116	20
117	23
118	29
119	22
120	35
121	22
122	20
123	26
124	45
125	21
126	28
127	37
128	23
129	15
130	38
131	22
132	16
133	19
134	28
135	18
136	22
137	26
138	39
139	28
140	19
141	38
142	26
143	37
144	18
145	37
146	34
147	30
148	11
149	27
150	27
151	26
152	12
153	20
154	29
155	27
156	14
157	24
158	30
159	28
160	38
161	25
162	32
163	28
164	31
165	26
166	20
167	32
168	24
169	24
170	23
171	22
172	22
173	34
174	29
175	31
176	15
177	30
178	21
179	34
180	34
181	38
182	38
183	34
184	22
185	22
186	31
187	37
188	33
189	36
190	29
191	35
192	22
193	31
194	25
195	26
196	40
197	44
198	33
199	45
200	18
201	25
202	28
203	16
204	17
205	23
206	19
207	31
208	22
209	23
210	18
211	41
212	32
213	27
214	35
215	39
216	20
217	18
218	43
219	31
220	25
221	24
222	29
223	35
224	24
225	57
226	44
227	37
228	23
229	28
230	23
231	24
232	13
233	25
234	26
235	24
236	30
237	35
238	24
239	27
240	56
241	67
242	23
243	24
244	23
245	19
246	37
247	25
248	64
249	31
250	23
251	34
252	37
253	34
254	51
255	68
