90450
2.06846
23386

0	318
1	4
24	1
28	1
40	1
54	1
66	1
67	1
77	1
82	1
93	1
97	2
124	474
125	312
126	51
127	309
128	36
129	330
130	36
131	129
132	123
133	141
134	675
135	156
136	177
137	159
138	417
139	156
140	384
141	135
142	147
143	375
144	93
145	150
146	354
147	372
148	57
149	189
150	138
151	117
152	585
153	132
154	105
155	123
156	99
157	528
158	48
159	279
160	78
161	345
162	45
163	57
164	39
165	90
166	534
167	33
168	81
169	105
170	378
171	39
172	249
173	33
174	93
175	315
176	36
177	42
178	228
179	342
180	33
181	36
182	69
183	249
184	213
185	15
186	42
187	27
188	282
189	192
190	12
191	186
192	234
193	45
194	24
195	21
196	51
197	288
198	168
199	21
200	12
201	42
202	207
203	12
204	156
205	12
206	774
207	9
208	18
209	21
210	177
211	171
212	18
213	6
214	96
215	135
217	138
218	93
219	3
220	144
221	3
222	735
223	129
224	3
225	129
226	105
228	12
229	132
230	258
231	9
232	3
234	186
235	9
236	117
238	93
239	261
240	3
242	171
243	135
247	168
249	108
251	165
252	75
255	71403
