44544
3.84913
21431

0	21246
1	128
2	141
3	169
4	6546
5	50
6	195
7	115
8	57
9	33
10	32
11	33
12	37
13	180
14	26
15	39
16	83
17	46
18	47
19	23
20	60
21	58
22	89
23	25
24	44
25	27
26	105
27	44
28	35
29	58
30	43
31	33
32	1903
33	76
34	101
35	25
36	24
37	16
38	22
39	22
40	28
41	13
42	17
43	13
44	150
45	154
46	248
47	48
48	562
49	126
50	258
51	198
52	192
53	532
54	227
55	126
56	468
57	96
58	268
59	282
60	201
61	454
62	677
63	232
64	336
65	309
66	404
67	203
68	30
69	56
70	47
71	97
72	95
73	37
74	33
75	135
76	120
77	35
78	59
79	147
80	27
81	20
82	19
83	24
84	23
85	22
86	35
87	19
88	14
89	12
90	10
91	12
92	10
93	21
94	17
95	23
96	13
97	57
98	18
99	42
100	23
101	89
102	33
103	26
104	49
105	32
106	17
107	18
108	43
109	68
110	57
111	45
112	14
113	13
114	47
115	37
116	75
117	19
118	37
119	17
120	35
121	15
122	8
123	11
124	16
125	7
126	13
127	19
128	17
129	22
130	14
131	15
132	19
133	6
134	11
135	15
136	18
137	19
138	14
139	10
140	16
141	13
142	17
143	12
144	31
145	15
146	17
147	7
148	12
149	6
150	22
151	10
152	18
153	8
154	11
155	13
156	46
157	6
158	26
159	14
160	17
161	16
162	15
163	8
164	11
165	17
166	12
167	14
168	22
169	6
170	24
171	14
172	13
173	13
174	18
175	12
176	22
177	13
178	11
179	7
180	14
181	9
182	15
183	13
184	7
185	13
186	14
187	13
188	18
189	17
190	13
191	14
192	16
193	20
194	8
195	15
196	12
197	11
198	31
199	13
200	18
201	20
202	11
203	13
204	17
205	17
206	7
207	13
208	18
209	17
210	13
211	15
212	15
213	20
214	20
215	9
216	10
217	16
218	9
219	21
220	12
221	12
222	10
223	14
224	35
225	18
226	13
227	15
228	12
229	22
230	22
231	11
232	23
233	13
234	13
235	15
236	20
237	19
238	16
239	17
240	43
241	14
242	13
243	8
244	12
245	9
246	21
247	16
248	9
249	20
250	157
251	5
252	13
253	19
254	25
255	1388
